Material,Sintering,Structure,er,Qf,f,Tcf,Reference
Ca(Dy1/2 Ta1/2 )O3,1600,"Complex perovskite
Monoclinic P2 1/n",30,26500,,-6,676
ZnZrNb 2O8,950,Monoclinic P2/c,30,61000,,-52,903
Ba(Yb 1/2 Nb 1/2 )O3,1700,"Complex perovskite
Orthorhombic",30,16500,8.7,118,530
"Nb 2O5-Zn 0.95Mg0.05 TiO3+ 0.25TiO 2+ 5wt%
Bi 2O3",960,Composite,30,12000,,-12,904
Ba4LiNb 3-xTa xO12 (x=2),1400,Hexagonal perovskite,30,37500,,34,854
Sr(Al 1/2 Nb 1/2 )O3 +0.2 wt% B 2O3,1350,Complex perovskite,30,22500,,-2,745
La4Ba2 Ti 5O18 +B2O3,,Hexagonal R,30,20000,,55,905
"Ba(Zn,Ta)O 3-Ba(Zn,Nb)O 3",,"Complex perovskite trigonal
P-3m1",30,164000,12,0,820
Ba(Ca1/3 Ta2/3 )O3,,Perovskite Hexagonal,30,27400,7,145,631
BaNb 2O6,1300,Orthorhombic C222 1,30,43000,,-45,906
Pb 0.5 Ca0.5 (Al 1/2 Nb 1/2 )O3,,Perovskite,30,1500,5.1,-23,907
CaZrO 3,,"Perovskite Pcmn
Orthorhombic",30,26400,11,-27,908909
SrZrO3,,"Perovskite Orthorhombic
Pcmn",30,13600,11,-67,908909
La(Co 1/2 Ti 1/2 )O3,1440,"Perovskite Orthorhombic
Pnm2 1",30,67000,10,-64,741
Ba8Li 2Nb 2Ta4O24,,Hexagonal P6 3mmc,30,37500,,,865
Ca[(Li 1/3 Nb 2/3 ) 0.9 Zr 0.1]O3-,1150,Perovskite,30,36300,,-5,910
"(1-x)Sr(Li 1/4 Nb 3/4 )O3-
xSr(Li 2/5 W3/5 )O3(x=0.385)",1450,Provskite monoclinic P2 1/c,30,21200,,-33,864
"(1-x)Ca(Li 1/4 Nb 3/4 )O3-
xCa(Li 2/5 W3/5 )O3(x=0.238)",1150,Perovskite,30,22700,,-33,864
ZnTiO 3+0.25TiO2+ 1 wt% B 2O3,875,Mixture,30,56000,,10,911
Sm0.8 Y0.2 TiNbO6,1400,Orthorhombic Pbnm,30,11000,,17,506
Ba5Ta4 O15,1550,Hexagonal perovskite,30,31600,,12,295
"Bi 2ZnNb 2O9+ZnNb 2O6+ 3 wt% PbO-Bi 2O 3-
B2O3-ZnO-TiO2 glass",900,Composite,30,3500,6,,912
Ba2Ti 9O20+9 wt% B 2O3,1050,Monoclinic P2 1/m,30,13700,,6,913
Ba(Zn 1/3 Ta2/3 )O3 + 1 mol% Mn,1550,Perovskite Trigonal P-3m1,30,145000,,0,635
Ba3[Zr 0.09 Ni 0.125 Zn 0.845 Ta1..94]O3,1520,"Perovskite Trigonal
P-3m1",30,138710,,-1,858
Ba(Zr 0.05 Zn 0.32 Ta0.63 )O3,1500,"Complex perovskite trigonal
P-3m1",30,148000,,8,914
0.15TiTe3O8-0.85TeO 2,700,Composite,30,22000,5,0,526
BaO-CeO2-TiO2+1.5 wt% CuO,1050,Composite,30,32000,,-11,329
"Ca1-xNd 2x/3 )TiO 3 +3ZnO-2B2O3 glass (20-40
mol%)",880,Perovskite Tetragonal,31,2850,,40,915
3CaO-2MgO-Ta2O5-TiO2,1550,Composite,30,185000,4.6,-24,206
La(Zn 1/2 Ti 1/2 )O3 sol-gel,1350,Perovskite Orthorhombic,30,60000,,-71,916
Ca(Yb 1/2 Nb 1/2 )O3,1550,"Complex perovskite
Orhorhombic",30,32500,,-25,689
Sr(Eu 1/2 Ta1/2 )O3,1600,Complex perovskite,30,45500,,-43,782
Sr(Gd 1/2 Ta1/2 )O3,1600,Complex perovskite,30,4000,,-66,782
Ca(Dy1/2 Ta1/2 )O3,1600,Complex perovskite,30,26500,,-6,676
BaZn 2Ti 4O11,1200,Orthorhombic Pbcn,30,68000,,-30,917
Ba5SrTa4ZrO 18 +2 wt% Bi 2O3-B2O3 glass,1525,Trigonal R-3m,30,18500,,37,812
BaZn 1.95 Ti 4O10.95,1200,Orthorhombic Pbcn,30,110000,,,917
La(Co 1/2 Ti 1/2 )O3+0.25 wt% B 2O3,1350,Perovskite,30,64600,8,-48,918
"(1-x)Sr(Li 1/4 Nb 3/4 )O3-xSr(Li 2/5 W3/5 )O3
(x=0.385)",1450,Perovskite,30,21200,9.2,-33,864
(Ca2/3 La1/3 )(Li 1/3 Nb 2/3 )O3,1250,Monoclinic P2 1/c,30,26500,8.7,-26,746
(1-x)CaTiO 3-xSm(Mg1/2 Ti 1/2 )O3 (x=0.8),,"Orthorhombic Pnm1
Perovskite",30,13000,,-20,919
BaZn 2-xTi 4O11-x (x=0-0.1),1250,Orthorhombic Pbcn,30,83000,,-30,917
Ba10Co 0.25 Ta7.9 O30,1550,P6 3mc,30,36700,3.78,29,870
Sr(Eu 0.5 Ta0.5 )O3+0.5 wt% Nb 2O5,1600,Complex perovskite tetragonal,30,45500,,-63,780
Ba6Ta4ZrO 18 +2 wt% Bi 2O3-B2O3 glass,1625,,30.1,41000,,5,812
La2O3-WO3-TiO2,1350,Multiphase,30.1,9225,5.8,-17,356
Nd 2Ti 2SiO 9,1300,Monoclinic C2/m,30.1,19600,,10,872
TeO2 +15 wt% CaTiO 3,,composite,30.1,21400,,29,393
MgTa2O6 (Sol-gel),1200,"Columbite
P4 2/mmm",30.1,57300,,29,920
Ca[(Li 1/3 Nb 2/3 ) 1-xZr x]O3 x=0.1,1150,Perovskite orthorhombic,30.1,36000,,-5,661
0.8Sm(Mg0.5 Ti 0.5)O3-0.2Ca0.8 Sr 0.2TiO3,1550,Perovskite,30.1,115000,,9,921
LiBiW2O8 +30 mol% TiO2,700,Composite,30.2,13000,,-9,806
La(Co 1/2 Ti 1/2 )O3 +0.75 wt% ZnO,1320,Perovskite,30.2,73000,8,-35,922
"MWF-38+ 10 wt% Li 2O-B2O3-SiO 2-
(56.92:37.59:5.49)",875,Composite,30.2,9500,,3,454
BaLi 2 Ti 6O14+ 0.5 wt% BaCu(B 3O5),920,Orthorhombic Cmca,30.2,28400,,-18,923
MgTa2O6,1550,Tetragonal P4 2/mmm,30.3,59600,,30,540
ZnTa2O6,1400,Orthorhombic Pbcn,30.3,87580,,9.5,924
Eu(Zr 1/3 Ti 2/3 )O6,1600,"Aeschyenite orthorhombic
Pnma",30.4,11000,4.5,-4,925
Nd(Zn 1/2 Ti 1/2 )O3 +1.5 wt% CuO,1240,"Complex perovskite
Monoclinic",30.4,14000,8,-44,926
(AgBi) 1/2 MoO4,690,Tetragonal I4 1/a,30.4,12600,8.7,57,615
Mg0.99 Co 0.01 Ta2O6,1500,Tetragonal P4 2/mmm,30.4,72500,,44,879
Eu(Zr 1/3 Ti 1/3 )O6,1600,"Aeschyenite orthorhombic
Pnma",30.4,11000,,-4,925
Ba1-xLa2x/3 ZrO 3 x=0.1,1430,Cubic Pm3m,30.4,9000,4.7,165,927
Ca[(Li 1/3 Nb 2/3 ) 0.8 Ti 0.2]O3-d +5 wt% LBS glass,950,"Complex perovskite
Orthorhombic",30.5,14700,4.6,-18,714
Ba(Y1/2 Ta1/2 )O3,,Complex perovskite,30.5,38500,9.4,135,928
Sr(Al 1/2 Nb 1/2 )O3,1600,Complex perovskite,30.5,10800,,-27,745
"0.09[0.5ZnNb 2O 6-0.5Zn3 Nb 2O 8]-0.91ZnTa 2O 6 +3
wt%BBS",950,Composite,30.5,32600,,-11,867
Ba8ZnTa6O24,1400,Hexagonal perovskite,30.5,62000,8.9,36,740
Sr(Sm0.5 Ta0.5 )O3+0.5 wt% Nb 2O5,1600,Complex perovskite tetragonal,30.5,45200,,-61,780
Ca(Li 1/3 Nb 2/3 )O3-d +4 wt% B 2O3,1000,Perovskite orthorhombic,30.6,31000,,-18,929
MgTa2 O6,1550,Tetragonal P42/mmm,30.6,58200,,29,841
Mg0.97 Co 0.03 Ta2O6,1500,Tetragonal P4 2/mmm,30.6,89000,,43,879
Sr(Ho 1/2 Nb 1/2 )O3 +0.2 wt% B 2O3,1350,Perovskite Tetragonal,30.6,16650,,-66,745
Sr(Y1/2 Nb 1/2 )O3 +0.2 wt% B 2O3,1350,"Complex perovskite
Orthorhombic",30.7,42500,,-67,745
Mg0.95 Co 0.05 Ta2O6,1500,Tetragonal P4 2/mmm,30.7,106200,,43,879
Sr(Yb 1/2 Nb 1/2 )O3+0.5 wt% CeO 2,1600,"Complex perovskite
Orthorhombic Pnma",30.7,26600,,-73,745
Nd(Zn 1/2 Ti 1/2 )O3 +1 wt% CuO,1270,"Complex perovskite
Monoclinic",30.7,158000,8,-45,926
Ca(Fe1/2 Ta1/2 )O3,,Complex perovskite,30.7,3000,5.38,,930
Mg0.5 Zn 0.5 TiNb 2O8,1120,Not available,30.7,66900,,-4,931
Ca[(Li 1/3 Nb 2/3 ) 0.8 Ti 0.2]O3-d + 5 wt% LMZBS,975,"Complex Perovskite
Orthorhombic",30.7,22600,,-18,714
Sr 6Ta4ZrO 18+3 wt% Bi 2O3-B2O3,1625,A6B5O18 type perovskite,30.8,5600,,-19,812
Nd(Zn 1/2 Ti 1/2 )O3 +0.75 wt% CuO,1300,"Complex perovskite
Monoclinic",30.8,147500,8,-45,926
Zn(Ti 1-xSn x)Nb 2O8,,Orthorhombic Pbcn,30.9,43500,,-54,932
0.8Li 2ZnTi 3O8-0.2TiO 2,1100,Ternary spinel cubic P4 332,30.9,56100,,29,792
0.1BaTiO 3-0.9La(Mg1/2 Ti 1/2 )O3,,Perovskite Pbnm,30.9,16330,8.29,-72,847
Li 0.774 Zr 0.057 NbO3,1150,Orthorhombic Pnma,30.9,3550,,-16,933
Ba3ZnNb 2-xSb xO9 (x=0.75),,Perovskite Cubic Pm3m,30.9,23700,5,0,340
Ba3ZnNb 2-xSb xO9 (x=0.5),,Perovskite Cubic Pm3m,30.9,35620,5.3,-11,340
Ba1-xCa x(Nd 1/2 Nb 1/2 )O3,,Perovskite Cubic Fm3m,36,15000,,,928
Ba1-xCa x(Y1/2 Ta1/2 )O3,,Perovskite,26,,,,928
(1-x)LaMg1/2 Ti 1/2 -xLa2/3 TiO3 (x=0.2),,Perovskite,31,43000,6.3,-54,863
2CaO-3NiO-Nb 2O5-TiO2,1275,Composite,31,7500,4.3,-49,206
"(1-x)Sr(Li 1/4 Nb 3/4 )O3-
xSr(Li 2/3 W3/5 )O3(x=0.333)",1450,Perovskite monoclinic P2 1/c,31,27400,8.7,-23,864
(Sr 0.15 Ba0.85 )(Yb 0.5 Ta0.5 )O3,1600,Complex perovskite,31,32100,,0,780
"(1-x)Ca(Li 1/4 Nb 3/4 )O3-xCa(Li 2/3 W 3/5 )O3
(x=0.238)",1150,Provskite monoclinic P2 1/c,31,22700,10.3,-33,864
"(1-x)Ba(Li 1/4 Nb 3/4 )O3-xBa(Li 2/3 W3/5 )O3
(x=0.333)",1470,Perovskite Cubic P-3m1,31,19000,7.8,18,934
Sm(Zn 1/2 Ti 1/2 )O3,1310,Perovskite Orthorhombic Pnm,31,37000,8,-19,935
Ba3Zn 7Ti 12O34,1150,,31,4300,,-25,936
"BaO-TiO2-WO3 (N-35):5 wt% Al 2O3-SiO 2-
B2O3",1100,Composite,31,5400,5.7,,710783
"Ba(Mg1/3 Nb 2/3 )O3+2 mol% B 2O3 +10 mol%
CuO",875,Perovskite composite,31,21500,,21,937
0.5Ba(Mg1/2 W1/2 )O3-0.5BaTiO 3,,Perovskite composite,31,8200,,125,334
Ba8Zn(Nb 6-xSb x)O24 (x=0.9),1425,,31,11550,,21,447
Bi 2MoO6,750,Monoclinic P2 1/n,31,16700,6.4,-114,439
(Zr 0.8 Sn 0.2 )TiO 4+ MnO 2,1350,Orthorhombic Pbcn,31,93000,9.3,,938
3Bi 2O3-2MoO3,820,,31,1000,,-41,439
Mg4La2 Ti 5O17,1350,,31,15000,,4,939
BaO-4.3TiO 2-0.5ZnO+ 7 wt% BCB,900,Composite,31,18200,,4,940
(Zn 0.5 Co 0.5 )TiO 3,1150,Perovskite,31,60000,,75,634
0.75(Al 1/2 Ta1/2 )O2-0.25(Ti 1-x Sn x)O2,1450,Composite,28.5,62650,,2,862
"0.95Ba(Zn 1/2 Ta2/3 )O3-0.05[Sr 0. 25 Ba0.75 ]
(Ga1/2 Ta1/2 )O3",1500,Perovskite,31,210000,,,883
Ba3Zn 7Ti 12O34,1150,Orthorhombic,31,4300,10,-25,936
Ba0.85 Sr 0.15 (Y1/2 Ta1/2 )O3,1600,Complex perovskite,31,32000,,0,782
Sr(La1/2 Ta1/2 )O3,1600,Complex perovskite,31,4500,,-42,782
Sr(Sm1/2 Ta1/2 )O3,1600,Complex perovskite,31,45200,,-61,782
Sr(Al 1/2 Nb 1/2 )O3,1600,Complex perovskite,31,10800,,-27,745941
Ca(Y1/2 Nb 1/2 )O3,1550,Perovskite Orhorhombic,31,35000,,-13,689
Sr(Yb 1/2 Nb 1/2 )O3,1600,Complex perovskite,31,26600,,-73,745
Ca(Li 1/3 Nb 2/3 )O3- +4 wt% B 2O3,1000,Complex perovskite,31,31000,,-18,929
0.4CaTiO 3-0.6Sm(Mg0.5 Ti 0.5 )O3,1550,Perovskite,31,12000,5.3,-28,786
2CaO-3MgO-Nb 2O5-TiO2,1325,Composite,31,33000,4.6,-10,206
Ca4MgTa2TiO12,1625,Perovskite,31,43000,4.7,-62,206
Ba(Li 1/4 Nb 3/4 )O3-Ba(Li 2/3 W3/5 )O3,1470,Perovskite Cubic,31,19000,7.8,18,934
Ca4NiTa2 TiO12,1625,"Perovskite Orthorhombic
Pnma",31,40000,4.7,-26,206
Ba(Ni1/3 Nb 2/3 )O3,1400,"Complex perovskite Cubic
Pm3m",31,48000,,-18,942
Ba(Mg1/3 Nb 2/3 )O3,1350,"Complex perovskite P-3m1
Hexagonal",31,46000,,18,943
Ba4SrTa4O15 (AnB n-1O3n),1575,Trigonal P3m1 perovskite,31.1,9500,5.2,8,773
Pr 0.16 Gd .84 TiNbO6,1400,Orthorhombic,31.1,3180,,-8,506
SrEr 1/2 Nb 1/2 )O3 +0.2 wt% B 2O3,1350,"Complex perovskite
Orthorhombic",31.1,38400,,-71,745
SmTaTi 0.7 Zr 0.3 O6,,,31.1,37481,,-2,609
Ca[(Li 1/3 Nb 2/3 ) 1-xZr x]O3 x=0.3,1150,Perovskite orthorombic,31.1,27100,,-15,661
TeO2 +12.5 wt% CaTiO 3,,Composite,31.2,14800,,18,393
ZnTa2O6+0.25 wt% CaF 2,1225,Orthorhombic Pbcn,31.3,73600,6.8,-7,944
0.5Ba(Mg1/2 W1/2 )O3- -0.5BaTiO 3,1500,Perovskite hexagonal,31.2,8200,,125,334
Sr(La0.5 Ta0.5 )O3+0.5 wt% Nb 2O5,1600,"Rhombohedral R3m complex
Perovskite",31.2,4500,,-42,780
Sr(Dy1/2 Nb 1/2 )O3 +0.2 wt% B 2O3,1350,"Complex perovskite
Tetragonal",31.2,30300,,-63,745
0.75(Al 1/2 Ta1/2 )O2-0.25TiO 2,1450,Composite,31.2,54600,,13,862
Nd(Zr 1/3 Ti 2/3 )O6,1600,"Aeschyenite orthorhombic
Pnma",31.4,15800,4.3,6,925
"(Zr 0.8 Sn 0.2 )TiO 4 +10 wt% BaO-B2O3-SiO 2-
Li 2O-CuO",1050,Orthorhombic Pbcn,31.4,32200,,-1,459
Nd(Zr 1/3 Ti 1/3 )O6,1600,"Aeschyenite orthorhombic
Pnma",31.4,15800,,6,925
Ca(Ho 1/2 Nb 1/2 )O3,1550,"Complex perovskite
Orthorhombic",31.4,32000,,3,689
Bi[Sb 1-x(Nb 0.992V 0.008 ) x]O4 (x=0.2),,Monoclinic I2/c,31.4,8000,,8,646
Ba[Ti 1-x(Zn 1/2 W1/2 ) x]O3 (x=1),1420,Cubic perovskite Fm3 - m,31.4,20900,,-1.3,608
0.9Ba(Zn 1/3 Ta2/3 )O3-0.1BaTi 4O9,1320,"Perovskite hexagonal
Composite",31.5,68500,6,4,945
Ba[(Mg1-xCo x) 1/3 Nb 2/3 ]O3 (x=0.05),,Perovskite Trigonal P-3m1,31.5,45000,,17,946
(Zr 1-xSn x)(Li 1/3 Nb 3/4 ) 0.4 Ti 0.6 O4 (x=0.3),1140,,31.5,58300,,-33,947
Sr(Nd 0.5 Ta0.5 )O3+0.5 wt% Nb 2O5,1600,Complex perovskite tetragonal,31.5,38500,,-55,780
(Li 0.5 Bi 0.5 )(W0.6 Mo 0.4 )O4,620,,31.5,8500,8.2,20,948
Nd(Zn 1/2 Ti 1/2 )O3,1330,Pervskite Monoclinic,31.6,170000,8.5,-42,949
Sr(Sm0.5 Ta0.5 )O3+0.5 wt% Nb 2O5 0.2 wt% TiO2,1600,Complex perovskite tetragonal,31.6,46400,,-55,780
SmTaTi 0.8 Zr 0.2 O6,,Cubic Fd3m,31.7,30654,,6,609
"(Zr 0.8 Sn 0.2 )TiO 4 +10 wt% BaO-B2O3-SiO 2-
Li 2O-CuO",1050,Composite,31.7,29700,,-2,950
Ba5NbTa3O15 (AnB n-1O3n),1500,Trigonal P3m1 perovskite,31.7,21500,,16,773
BaSr 4Ta4O15(AnB n-1O3n),1600,Trigonal P3m1 perovskite,31.7,2800,5.34,-60,773
90 wt% BaTi 4O9+10 wt% Li 2O-B 2O3-SiO 2,875,Composite,31.7,9000,,10,532
Ba[(Mg1-xCo x)] 1/3 Nb 2/3]O3 x=0.8,,Perovskite,31.7,76900,,3,951
BaLi 2 Ti 6O14,1025,Orthorhombic Cmca,31.7,23300,7.3,-15,923
Sr(Sm1/2 Nb 1/2 )O3,1500,"Complex perovskite
Monoclinic P2 1/n",31.8,41000,8.1,-45,530
Nd[(Co 0.02Zn 0.8 ) 1/2 Ti 1/2 ]O3,,Perovskite monoclinic,31.8,176000,9,-43,952
BaNb 2P 2O11,1150,Trigonal R3-c,31.8,24100,,45,243
(Zr 1-xSn x)(Li 1/4 Nb 3/4 ) 0.4 Ti 0.6 O4 (x=0.3),,,31.8,58300,,-33,953
ZnTiNb 2O8+2 wt% Li 2O-ZnO-B2 O3,875,Ixiolite,31.8,25000,,-62,954
"MBRT-90 +10 wt% Li 2O-B2 O3-SiO 2-CaO-
Al 2O3 (28:27:30:5:10)",875,Composite,31.9,2200,,20,454
Ba(Mg1/3 Nb 2/3 )O3,,"Complex perovskite Trigonal
P-3m1",32,55500,10,33,635
Sr(Pr 0.5 Ta0.5 )O3+0.5 wt% Nb 2O5,1600,Complex perovskite tetragonal,32,8400,,-50,780
Ba(Yb 1/2 Ta1/2 )O3 +0.5 wt% Nb 2O5,1575,Complex perovskite,32,35850,,112,767
"Ca[(Li 1/3 Nb 2/3 ) 0.95 Zr 0.15]O3+d + 15wt% ZnO-
B2O3-SiO 2 glass rit",940,Perovskite orthorhombic,32,66400,,-27,955
La6Mg0.913 Ti 4.04 O18,,Perovskite slab series,32,31000,6.1,-46,863
Ca5Nb 2Ti 0.4 Hf0.6 O12,1675,Perovskite orthorhombic Pnma,32,22000,4.5,-0.5,435
Ba(Mg1/3-xNb 2/3 )O3- (x=0.02),1450,"Complex perovskite Trigonal
P-3m1",32,96000,,30,956
Ba(Co 1/3 Nb 2/3 )O3,1400,"Complex perovskite Trigonal
P-3m1",32,78000,,-12,957958
Ba(Yb 1/2 Ta1/2 )O3,1625,Complex perovskite,32,35900,,112,856
Ca(Fe1/2 Ta1/2 )O3,,"Complex perovskite
Orthorhombic Pbnm",32,20000,,-61,548
Ca(Er 1/2 Nb 1/2 )O3,1550,Complex perovskite,32,31800,,-18,689
Ca(Dy1/2 Nb 1/2 )O3,1550,"Complex perovskite
Orthorhombic",32,32500,,5,689
Sr(Sm1/2 Ta1/2 )O3 +0.2 wt% TiO 2,1600,Complex perovskite,32,46400,,-46,782
Sr(Pr 1/2 Ta1/2 )O3,1600,Complex perovskite,32,8400,,-50,782
Sr(Nd 1/2 Ta1/2 )O3,1600,Complex perovskite,32,38500,,-55,782
Sr(Ho 1/2 Nb 1/2 )O3,1600,Complex Perovskite,32,20400,,-65,745
Sr(Y1/2 Nb 1/2 )O3,1600,Complex Perovskite,32,38800,,-66,745
Sr(Er 1/2 Nb 1/2 )O3,1575,Complex perovskite,32,36100,,-67,745
BaO-2CeO2-5TiO 2,1250,Composite,32,19100,,41,826
EuTiNbO6,1370,Orthorhombic Pbnm,32,17250,5.3,5,505
5CaO-2Nb 2O5,1500,Mixed phases,32,6500,6.48,-37,295
BaTi 4O9+10 wt% glass frit,875,Composite,32,9000,,10,959
0.1(Na0.5 La0.5 )TiO 3-0.9CeO 2,1400,Mixed phases,32,8200,,0,960
SrLi 2Ti 6O14 + 0.5 wt% BCB,900,Orthorhombic Cmca,32,12900,,-5,923
3CaO-2CoO-Nb 2O5-TiO2,1400,Composite,32,15000,4.3,-18,206
0.25Ca2AlNbO6 -0.75Ca3Nb 2O8,,Mixture phases,32,7500,6.34,64,785
ZnTa2O6/MgNb 2O6/ZnTa2O6 (6:1:6) Vf layered,,Composite,32,82800,,0,961
Ba(Cd 1/3 Ta2/3 )O3 +B2O3,1350,"Complex perovskite Cubic
Pm3m",32,50000,2,80,962
Ca5Nb 2Ti 0.4 Hf0.6 O12,1675,Perovskite orthorhombic Pnma,32,22000,4.458,0,435
BaO-TiO2-WO3 (N-35):5 wt% Al 2O3-SiO 2,1100,Composite,32,11000,5.6,,783
Ca[(Li 1/3 Nb 2/3 ) 0.8 Ti 0.2]O3-d + 3 wt% LBS,1025,"Complex perovskite
orthorhombic",32,20000,,-18,714
SnTe3O8,700,Cubic Ia3,32,13200,4,,48
La6Mg0.913 Ti 4.04 O18,,,32,31000,6.1,-46,863
Ba(Yb 1/2 Ta1/2 )O3,1625,Complex perovskite cubic,32,35800,,112,856
Ba(Sn 0.226 Zn 0.258 Nb 0.516 )O3,1500,Perovskite Cubic Pm3m,32,97000,,12,963
Ba(Zn 1/3 Nb 2/3 )O3+ 5 mol% B2O,900,Perovskite Cubic Pm3m,32,3500,,20,964
"Sr(Sm0.5 Ta0.5 )O3+0.5 wt% Nb 2O5 0.25 wt%
TiO2",1600,"Complex perovskite
Tetragonal",32.1,38600,,-46,780
(Ca2Mg2.75 Pb 0.25 )Nb 2(Ti 0.75 Zr 0.25 )O12,1275,,32.2,12250,,-35,721
Sr(Er 1/2 Nb 1/2 )O3+0.5 wt% CeO 2,1600,Perovskite Orthorhombic,32.2,36100,,-67,745
Sr(Y1/2 Nb 1/2 )O3+0.5 wt% CeO 2,1600,"Complex perovskite
Orthorhombic",32.2,38850,,-66,745
Ba5Nb 3TaO15,1435,Trigonal P-3m1 perovskite,32.2,4700,4.4,35,773
Sr(Ho 1/2Nb 1/2 )O3+0.5 wt% CeO 2,1600,"Complex perovskite
Tetragonal",32.3,20400,,-65,745
Sr(Tb 1/2 Nb 1/2 )O3 +0.2 wt% B 2O3,1350,"Complex perovskite
Tetragonal",32.3,33500,,-64,745
Ba6Nb 4ZrO 18,1625,"A6B5O18 type perovskite
Trigonal R-3m",32.4,52000,,25,812
(Zr 1-xSn x)(Li 1/4 Nb 3/4 ) 0.4 Ti 0.06 O4 (x=0.2),,Not available,32.4,50300,,-24,947
Bi 2W2O9,875,Orthorhombic Pbn21,32.5,7700,5.5,-63,965
(Sr 0.05 Ba0.95 )(Y0.5 Ta0.5 )O3,1600,Complex perovskite,32.5,47300,,0,780
"Ca[(Li 1/3 Nb 2/3 ) 0.8 Ti 0.2]O3-d+ 5wt% ZnB 2O4
glass",940,Perovskite orthorhombic,32.5,20600,,-26,966
"0.6Ba(Co 1/3 Nb 2/3 )O3-0.4Ba(Ni 1/3Nb 2/3 )O3 +0.5
wt% CuO",1270,Composite,32.5,82000,9,-21,967
"0.09[0.5ZnNb 2O 6-0.5Zn3 Nb 2O 8]-0.91ZnTa 2O 6 +3
wt%ZBS",950,Composite,32.5,32400,,-7,867
Ba6Ti 1-xSn xNb 4O18 (x=0.75),1510,Trigonal R-3m,32.6,25800,6.2,18,894
0.9MgTiO 3-0.1BaTiO 3,1325,Composite,32.7,31700,,-85,968
ZnTiNb 2O8+BaCu(B 2O5),950,Orthorhombic Pbcn,32.6,20100,5.1,-64,969
Nd[(Zn 0.925 Co 0.075 ) 0.5 Ti 0.5]O3,1390,Not available,32.6,185300,,31,970
ZnNb 2O6+1.5 wt% (CuO-V 2O5-Bi 2O3),870,Orthorhombic columbite Pbcn,32.7,67100,,-47,971
0.7TeO 2-SnTe3O8,650,Mixture phases,32.7,8800,,-33,55
(Bi 0.8 La0.2 ) 2Mo 2O9,,MonoclinicP21/n,32.7,13500,,138,972
(Zr 1-xSn x)(Li 1/4 Nb 3/4 ) 0.4 Ti 0.6 O4 (x=0.2),,,32.7,47900,,-4,953
"0.09[0.5ZnNb 2O 6-0.5Zn3 Nb 2O 8]-0.91ZnTa 2O 6 +1
wt%ZBS",1050,Composite,32.7,41000,,-22,867
Ca[(Li 1/3 Nb 2/3 ) 0.75 Ti 0.25]O3-d +5 wt% LBS glass,950,Perovskite orthorhombic,32.8,11500,4.5,-3,714
0.Ba(Zn 1/3 Nb 2/3 )O3-0.7ZnNb 2O6,1200,Composite,32.8,34100,,-10,973
Ba1-zSr z[Zn 1/3 (TapNb 1-p] - Sr 1-xCax(Ga1/2 Ta1/2 )]O3,,Perovskite,33,130000,7,5,974
Sr(Mg1/3 Nb 2/3 )O3:Mn,,Perovskite Trigonal P-3m1,33,23700,10.3,-14,635
BaTi 4O9 +5 wt% ZnO-B2O3 glass,900,"Orthorhombic+Zn(BO 2) 2
second phase Pmmn",33,27000,,7,975
3CaO-2CoO-Nb 2O5-TiO2,1400,Composite,33,15000,4.3,-18,206
Sr(Dy1/2 Nb 1/2 )O3,1575,Complex perovskite,33,32700,,-63,745
Ba[(Ni 0.6 Zn 0.4)1/3 Nb 2/3]O3 +1 mol% B 2O3,1300,Perovskite Cubic Pm3m,33,39700,,-4,976
Ba[Ti 1-x(Zn 1/2 W1/2 ) x]O3 (x=0.9),1380,Cubic perovskite Fm3 - m,33,19900,,0,608
Ba0.95 Sr 0.05 (Y1/2 Ta1/2 )O3,1600,Complex perovskite,33,47300,,0,782
Ba(Y1/2 Ta1/2 )O3,1625,Complex perovskite cubic,33,50200,,120,856
(1-x)LaMg1/2 Ti 1/2 O3-xLa2/3 TiO3 (x=0.3),,Perovskite,33,43000,6.3,-54,863
Bi 6Te2O15 (oxygen atm),800,Orthorhombic,33,41000,,-85,977
"Ca[Li 1/3 Nb 2/3] 0.75 Ti 0.25]O3-+5 wt% Li 2O-B 2O3-
SiO 2",950,Perovskite orthorhombic,33,11500,,-5,714
Ba(Cd 1/3 Ta2/3 )O3 + 2 wt% ZnO,1550,"Complex perovskite Cubic
Pm3m",33,37500,,80,978
La5 AlTi 3O15,1600,Not available,33,28600,,-39,866
Li 0.774 Zr 0.057 NbO3,1150,Perovskite orthorhombic,33,4460,,-28,979
Ba1/3 La2/3 Zn 1/3 Ti 2/3 O3,,Perovskite,33,19000,6.7,-11,835
0.5SrTiO 3-0.5LaAlO 3,1550,Psuedo cubic perovskite,33,54000,,,980
Sr(Dy1/2 Nb 1/2 )O3+0.5 wt% CeO 2,1575,Complex Perovskite,33,32700,,-63,745
Ba(Y1/2 Ta1/2 )O3 +0.5 wt% Nb 2O5,1575,Complex perovskite,33,50150,,120,767
Ba3Sr 2Ta4O15(AnB n-1O3n),1575,Hexagonal perovskite,33.2,4300,5.2,-15,773
Sr 5Nb 2Ta2O15(AnB n-1O3n),1575,Hexagonal perovskite,33.2,2500,5.65,-2,773
Ba3ZnNb 2-xSb xO9 (x=0.375),,Perovskite,33.2,44940,,-3,340
(1-x)La(Mg1/2 Ti 1/2 )O3-xLa2/3 TiO3 (x=0.37),,Orthorhombic Imma,33.2,8560,8.3,,807
