Material,Sintering,Structure,er,Qf,f,Tcf,Reference
0.3TeO 2-SnTe3O8,660,Composite,6.5,8800,,200,55
Li 2CaSiO 4 +0.5 wt% BBS,925,Tetragonal I-42m,6.5,5500,,,12
Li 2CaSiO 4 +0.5 wt% PBS,925,Tetragonal I-42m,6.5,1500,,,12
0.15ZnO-0.25Nd 2O3-0.6B 2O3+50 wt% Al 2O3,850,Composite,6.5,22500,18.9,,56
(Zn 1-xCo x) 2SiO 4x=0.05,900,Willimite Rhombic R3,6.5,5700,,-55,57
LiMgPO 4,950,Orthorhombic Pmnb,6.6,79100,,-60,58
(Mg0.4 Zn 0.6 ) 2SiO 4,,Trigonal R-3,6.6,95650,,-60,59
Zn 2SiO 4 +sol-gel,1325,Trigonal R-3,6.6,198400,,-42,60
Sr 2Al 2Si 0.9 Ge0.1 O7,1525,"Tetragonal Gehhlenite type
42 1m",6.6,22900,,-28,61
Al 2O3+50 vol % ZBS glass,700,Composite,6.6,2600,11.8,,31
Ca1-xSr xSiO 3 (x=0.8),,Monoclinic P2 1/a,6.6,66700,,-40,62
MgO-B2O3-SiO 2 (42:45:13),,Glass,6.6,2100,6.88,,63
Willemite (Zn 2SiO 4),1340,Trigonal R-3,6.6,219000,,-61,64
CaWO4 +1 wt% MnSO 4,1050,Scheelite I4 1/a,6.6,129540,,-56,"43,44"
K0.9 Ba0.1 Ga1.1 Ge2.9 O8,990,Monoclinic C2/m,6.6,12700,,-21,35
Zn 1.8 SiO3.8,1300,WillemiteTrigonal R-3,6.6,147000,,-22,65
MgO-B2O3-SiO 2 (42:45:13) glass,,Glass,6.6,2130,6.9,,66
ZnO-0.6 SiO 2 +Bi 2O3-Li 2CO3,910,Glass,6.7,33000,11,-33,67
CaO-SiO 2,1320,Glass ceramic,6.7,25400,,,68
50 wt% (La2O3-B2O3) ) +50 wt% Al 2O3,850,Glass,6.7,2800,17.7,,69
Mg1.975 Mn.025 SiO4 Fosterite,1400,Orthorhombic Pbnm,6.7,180000,,-71,70
MgSiO 3,1380,Orthorhombic Pbnm,6.7,121200,,-17,71
CaSiO 3+1 wt% Al 2O3,1250,Wollastonite Monoclinic P2 1/a,6.7,24600,,,72
LiMg0.9 Zn 0.1PO4,925,"Orthorhombic
Type Pmnb Olivine",6.7,99700,,-62,73
Zn 3B2O6,925,Triclinic I2/c,6.7,58500,,-58,74
Mg2SiO 4+15 wt% LMZBS glass,950,Composite,6.8,30600,,,75
Mg2B2O5+55 wt% LMZBS glass,950,Composite,6.8,50000,7.28,-64,76
Mg2SiO 4Fosterite,1450,Orthorhombic Pbnm,6.8,270000,,-67,77
Li 2ZnSiO 4+20 wt% ZnO-B2O3,950,Composite,6.8,9300,,-51,78
Li 2ZnSiO 4+25 wt% ZnO-B2O3,950,Composite,6.8,10800,,-47,78
α-CaSiO 3,1500,Monoclinic C2/c wollastonite,6.8,42200,,-19,79
SrSiO 3,1500,Monoclinic C2/c,6.8,13100,,-66,79
Mg2GeO4+B2O3,1250,Orthorhombic Pnma,6.8,95000,,-29,80
K2Mo 4O13,540,Triclinic p-1,6.8,39800,,-67,29
Mg1.93 Ca.07 SiO 4 Fosterite,1400,Orthorhombic Pbnm,6.9,105000,,-72,70
ZnO:B 2O3 (50:50) glass,800,Glass,6.9,1733,16.4,-10,81
