Material,er,Qf,f,Tcf,Single_Crystal_1,er1,Qf1,f1,Tcf1,Single_Crystal_2,er2,Qf2,f2,Tcf2,V1,V2,W1,W2,Ref
0.52Nd(Zn1/2Ti1/2)O3-0.48SrTiO3,50.4,109000,,-10,Nd(Zn1/2Ti1/2)O3,31.6,170000,8.5,-42,SrTiO3,270,3000,2,1500,0.52,0.48,,,1329
0.5Nd(Zn1/2Ti1/2)O3-0.5SrTiO3,53.8,93000,,2.5,Nd(Zn1/2Ti1/2)O3,31.6,170000,8.5,-42,SrTiO3,270,3000,2,1500,0.5,0.5,,,1329
0.45Nd(Zn1/2Ti1/2)O3-0.55SrTiO3,58,80000,,7.8,Nd(Zn1/2Ti1/2)O3,31.6,170000,8.5,-42,SrTiO3,270,3000,2,1500,0.45,0.55,,,1329
0.4Nd(Zn1/2Ti1/2)O3-0.6SrTiO3,63,39000,,49,Nd(Zn1/2Ti1/2)O3,31.6,170000,8.5,-42,SrTiO3,270,3000,2,1500,0.4,0.6,,,1329
0.2Nd(Zn1/2Ti1/2)O3-0.8SrTiO3,102,21000,,308,Nd(Zn1/2Ti1/2)O3,31.6,170000,8.5,-42,SrTiO3,270,3000,2,1500,0.2,0.8,,,1329
Ba(Ti0.85Mn0.15)O3+15wt%Bi2O3,54.7,1300,,183,Bi2O3,33.5,18700,8.7,-235,Ba(Ti0.85Mn0.15)O3,60,12000,,225,,,,,
TiFeNbO6+4wt%Bi2O3,56.1,1000,3.45,17,Bi2O3,33.5,18700,8.7,-235,TiFeNbO6,47.2,2300,3.68,281,0.025,0.975,,,
CaTi.6(Al1/2Nb1/2).4O3+1wt%Li3NbO4,56.6,28000,7,53,Li3NbO4,15.8,55000,,-49,CaTi.6(Al1/2Nb1/2).4O3,55.7,21800,7,47,,,,,
0.85La2/3TiO3-0.15LaAlO3,57.7,27900,5.2,65,LaAlO3,23.4,68000,10,-58,La2/3TiO3,65,15700,,123,0.15,0.85,,,
TiFeNbO6+6wt%Bi2O3,58.1,650,3.32,118,Bi2O3,33.5,18700,8.7,-235,TiFeNbO6,47.2,2300,3.68,281,0.038,0.962,,,
0.42(La1/2Na1/2)TiO3-0.58Ca(Fe1/2Nb1/2)O3,58.9,14070,6.6,0,Ca(Fe1/2Nb1/2)O3,36.8,15800,8.2,-93,(La1/2Na1/2)TiO3,122,9800,3,480,0.58,0.42,,,
0.9La2/3TiO3-0.1LaAlO3,62.6,26100,4.9,82,LaAlO3,23.4,68000,10,-58,La2/3TiO3,65,15700,,123,0.1,0.9,,,
0.92La2/3TiO3-0.08LaAlO3,66.9,28350,4.8,82,LaAlO3,23.4,68000,10,-58,La2/3TiO3,65,15700,,123,0.08,0.92,,,
0.6CaTiO3-0.4Ca(Mg1/3Nb2/3)O3,68,17000,5.4,108,Ca(Mg1/3Nb2/3)O3,28,58000,,-48,CaTiO3,162,1290,1.5,859,0.4,0.6,,,
0.3La(Mg1/2Ti1/2)O3-0.7SrTiO3,68.4,4950,6.6,,La(Mg1/2Ti1/2)O3,27.6,114300,7.1,-81,SrTiO3,270,3000,2,1500,0.3,0.7,,,
Ba4Nd9.33Ti18O54+2wt%Al2O3,70,12200,,20,Al2O3,10,634000,14,-40,Ba4Nd9.33Ti18O54,82.5,10060,,71,,,,,
(1-x)CaTiO3-xSm(Mg1/2Ti1/2)O3(x=0.2),72,12000,,160,Sm(Mg1/2Ti1/2)O3,25,65500,10,-26,CaTiO3,162,1290,1.5,859,0.2,0.8,,,
xCaTiO3–(1−x)La(Mg1∕2Ti1∕2)O3,28,60000,,-70,La(Mg1∕2Ti1∕2)O3,28,60000,,-70,CaTiO3,162,1290,1.5,859,1,0,,,
xCaTiO3–(1−x)La(Mg1∕2Ti1∕2)O3,33,32000,,-40,La(Mg1∕2Ti1∕2)O3,28,60000,,-70,CaTiO3,162,1290,1.5,859,0.7,0.3,,,
xCaTiO3–(1−x)La(Mg1∕2Ti1∕2)O3,44.6,32000,5.5,1.06,La(Mg1∕2Ti1∕2)O3,28,60000,,-70,CaTiO3,162,1290,1.5,859,0.45,0.55,,,
xCaTiO3–(1−x)La(Mg1∕2Ti1∕2)O3,48.2,27000,5.5,12,La(Mg1∕2Ti1∕2)O3,28,60000,,-70,CaTiO3,162,1290,1.5,859,0.4,0.6,,,
xCaTiO3–(1−x)La(Mg1∕2Ti1∕2)O3,55,18000,5.5,50,La(Mg1∕2Ti1∕2)O3,28,60000,,-70,CaTiO3,162,1290,1.5,859,0.3,0.7,,,
xCaTiO3–(1−x)La(Mg1∕2Ti1∕2)O3,80,16500,5.5,180,La(Mg1∕2Ti1∕2)O3,28,60000,,-70,CaTiO3,162,1290,1.5,859,0.2,0.8,,,
xCaTiO3–(1−x)La(Mg1∕2Ti1∕2)O3,124,14000,5.5,420,La(Mg1∕2Ti1∕2)O3,28,60000,,-70,CaTiO3,162,1290,1.5,859,0.1,0.9,,,
0.88TiO2-0.12Bi2Ti4O11,74,9500,,3,Bi2Ti4O11,47,4800,,-540,TiO2,115,46000,,450,0.12,0.88,,,
1TiO2-0Bi2Ti4O11,115,46000,,450,Bi2Ti4O11,47,4800,,-540,TiO2,115,46000,,450,0,1,,,
0TiO2-1Bi2Ti4O11,47,4800,,-540,Bi2Ti4O11,47,4800,,-540,TiO2,115,46000,,450,1,0,,,
Ba4.2Sm9.2Ti18O54+0.2wt%Al2O3,76.9,10100,,-23,Al2O3,10,634000,14,-40,Ba4.2Sm9.2Ti18O54,83,8950,3.5,-13,,,,,
Ba4Sm9.33Ti18O54+0.3mol%TiO2,78.8,10750,4.8,-21,Ba4Sm9.33Ti18O54,76,10000,,-12,TiO2,115,46000,,450,0.997,0.003,,,
Ba4.2Sm9.2Ti18O54+4wt%SrTiO3,81.2,8470,,-2,Ba4.2Sm9.2Ti18O54,83,8950,3.5,-13,SrTiO3,270,3000,2,1500,,,,,
Ba4Sm9.33Ti18O54+14mol%TiO2,81.5,10415,5,0,Ba4Sm9.33Ti18O54,76,10000,,-12,TiO2,115,46000,,450,0.86,0.14,,,
0.95TiO2-0.05Bi2Ti4O11,93,12500,,230,Bi2Ti4O11,47,4800,,-540,TiO2,115,46000,,450,0.05,0.95,,,
0.96La2/3TiO3-0.04CaTiO3,90,27000,10,190,La2/3TiO3,65,15700,,123,CaTiO3,162,1290,1.5,859,0.96,0.04,,,1474
1La2/3TiO3-0CaTiO3,65,15700,,123,La2/3TiO3,65,15700,,123,CaTiO3,162,1290,1.5,859,1,0,,,
0.1La(Mg1/2Ti1/2)O3-0.9CaTiO3,102.5,20200,4.3,395,La(Mg1/2Ti1/2)O3,27.6,114300,7.1,-81,CaTiO3,162,1290,1.5,859,0.1,0.9,,,
0.98TiO2-0.02Bi2Ti4O11,95,18000,,351,Bi2Ti4O11,47,4800,,-540,TiO2,115,46000,,450,0.02,0.98,,,
0.98TiO2-0.019Bi2O3,97.8,3700,,354,Bi2O3,33.5,18700,8.7,-235,TiO2,115,46000,,450,0.019,0.98,,,
TiO2+0.05mol%Al2O3,102,47100,,,Al2O3,10,634000,14,-40,TiO2,115,46000,,450,0.0005,0.9995,,,
0.5Ca0.6La0.2667TiO3-0.5Li1/2Nd1/2TiO3,105,7000,,5,Li1/2Nd1/2TiO3,75,2000,,-274,Ca0.6La0.2667TiO3,109,17600,4.5,213,0.5,0.5,,,
1Ca0.6La0.2667TiO3-0Li1/2Nd1/2TiO3,109,17600,4.5,213,Li1/2Nd1/2TiO3,75,2000,,-274,Ca0.6La0.2667TiO3,109,17600,4.5,213,0,1,,,
0Ca0.6La0.2667TiO3-1Li1/2Nd1/2TiO3,75,2000,,-274,Li1/2Nd1/2TiO3,75,2000,,-274,Ca0.6La0.2667TiO3,109,17600,4.5,213,1,0,,,
0.4CaTiO3-0.6Li1/2Nd1/2TiO3,126,2600,2.1,127,Li1/2Nd1/2TiO3,75,2000,,-274,CaTiO3,162,1290,1.5,859,0.6,0.4,,,
0CaTiO3-1Li1/2Nd1/2TiO3,75,2000,,-274,Li1/2Nd1/2TiO3,75,2000,,-274,CaTiO3,162,1290,1.5,859,1,0,,,
Ag(Nb3/4Ta1/4)O3-Ag(Nb1/4Ta3/4)O3(45:55),463,200,1.97,,Ag(Nb1/4Ta3/4)O3,295,600,2.6,,Ag(Nb3/4Ta1/4)O3,487,200,1.89,,0.55,0.45,,,
Ba0.6Sr0.4TiO3+2mol%BaCu(B2O5),2553,330,,,BaCu(B2O5),7.3,50000,,-32,Ba0.6Sr0.4TiO3,838,300,1.6,,0.02,0.98,,,
Ba0.6Sr0.4TiO3+0.5wt%MgCo2(VO4)2,2763,300,1,,MgCo2(VO4)2,9.4,78900,,-95,Ba0.6Sr0.4TiO3,838,300,1.6,,,,,,
Mg4Nb2O9+3 wt% LiF,10,116418,,-72,Mg4Nb2O9,12.4,192268,,-71,LiF,9.02,192400,7.1,-163.46,,,,,
0.5LaAlO3-0.5SrTiO3 ,35,27000,,-18,LaAlO3,19.6,24500,10,-44,SrTiO3,304,3300,1.22,1700,0.5,0.5,,,
0.5LaAlO3-0.5TiO2,37,37000,,-1,LaAlO3,24,68000,10,-44,TiO2,115,46000,5.5,450,0.5,0.5,,,
0.7CaTiO3 - 0.3LaAlO3,44,30000,,-3,CaTiO3,175,8320,1.41,859,LaAlO3,24,68000,10,-44,0.7,0.3,,,
La2/3TiO3 -LaAlO3,45,33000,,7,La2/3TiO3,65,15700,,123,LaAlO3,24,68000,10,-44,0.5,0.5,,,
0.89Al2O3-.11TiO2,12.9,187000,,-2,AL2O3,10,634000,14,-40,TiO2,115,46000,5.5,450,0.89,0.11,,,
0.75ZnNb2O6-0.22TiO2,22.5,15000,,-15,ZnNb2O6,21.5,84500,6.3,-75,TiO2,115,46000,5.5,450,0.78,0.22,,,
0.8Al1/2Ta1/2)O2-0.2TiO2,29.4,75470,,0,(Al1/2Ta1/2)O2,9,70000,,-55,TiO2,115,46000,5.5,450,0.8,0.2,,,
0.95(Mg.95Co.05)TiO3-0.05CaTiO3,20.3,107000,7,-22.8,(Mg.95Co.05)TiO3,16.8,230000,10,-54,CaTiO3,162,8320,1.41,859,0.95,0.05,,,
0.94(Mg.95Co.05)TiO3-0.06CaTiO3,20.9,102000,7,-9.5,(Mg.95Co.05)TiO3,16.8,230000,10,-54,CaTiO3,162,8320,1.41,859,0.94,0.06,,,
0.93(Mg.95Co.05)TiO3-0.07CaTiO3,21.6,92000,7,-1.8,(Mg.95Co.05)TiO3,16.8,230000,10,-54,CaTiO3,162,8320,1.41,859,0.93,0.07,,,
0.92(Mg.95Co.05)TiO3-0.08CaTiO3,22.1,86400,7,5.4,(Mg.95Co.05)TiO3,16.8,230000,10,-54,CaTiO3,162,8320,1.41,859,0.92,0.08,,,
0.3La(Mg1/2Ti1/2)O3 - 0.7CaTiO3,43.2,12437,5.5,-13,La(Mg1/2Ti1/2)O3,27.4,74550,7.1,-81,CaTiO3,162,8320,1.41,859,0.3,0.7,,,
0.64MgTiO3-0.36SrTiO3,20.8,71000,,-1,MgTiO3,17,110000,10,-55,SrTiO3,304,3300,1.22,1700,0.64,0.36,,,
0.95Ba(Zn1/3Nb2/3)O3-0.05BaZrO3,42,96000,7,27,Ba(Zn1/3Nb2/3)O3,41.1,86900,9.5,31,BaZrO3,35,8800,,140,0.95,0.05,,,
0.7Ba(Co1/3Nb2/3)O3-0.3Ba(Zn1/3Nb2/3)O3,34.3,75000,6,,Ba(Co1/3Nb2/3)O3,31,64000,9,-6,Ba(Zn1/3Nb2/3)O3,41.1,86900,9.5,31,0.7,0.3,,,
0.6Ba(Zn1/3Nb2/3)O3-0.4Ba(Co1/3Nb2/3)O3,35.5,86000,2,0,Ba(Zn1/3Nb2/3)O3,41.1,86900,9.5,31,Ba(Co1/3Nb2/3)O3,31,64000,9,-6,0.6,0.4,,,
0.25Ba(Y1/2Ta1/2)O3-0.75Ba(Ca1/9Y3/9Ta5/9)O3,28.5,16900,9.66,142,Ba(Y1/2Ta1/2)O3,30.45,38500,9.4,135,Ba(Ca1/9Y3/9Ta5/9)O3,26,19900,9.52,134,0.25,0.75,,,
0.75Ba(Y1/2Ta1/2)O3-0.25Ba(Ca1/9Y3/9Ta5/9)O3,29.8,34200,9.62,153,Ba(Y1/2Ta1/2)O3,30.45,38500,9.4,135,Ba(Ca1/9Y3/9Ta5/9)O3,26,19900,9.52,134,0.75,0.25,,,
0.5Ba(Y1/2Ta1/2)O3-0.5Ba(Ca1/9Y3/9Ta5/9)O3,30.35,36000,9.56,160,Ba(Y1/2Ta1/2)O3,30.45,38500,9.4,135,Ba(Ca1/9Y3/9Ta5/9)O3,26,19900,9.52,134,0.5,0.5,,,
Ba4Sm9.33Ti18O54 +0.3 mol%TiO2,78.8,10750,4.8,-21,Ba4Sm9.33Ti18O54,80,10700,4.7,-15,TiO2,115,64600,5.5,450,0.997,0.003,,,
