Material,er,Qf,f,Tcf,Single_Crystal_1,er1,Qf1,f1,Tcf1,Single_Crystal_2,er2,Qf2,f2,Tcf2,V1,V2,W1,W2,Ref
LiMgPO4+0.15vfTiO2,11.4,21100,,4,LiMgPO4,6.6,79100,,-60,TiO2,115,46000,,450,0.85,0.15,,,
0.8SrMoO4-0.2TiO2,11.5,19200,,8,SrMoO4,9.5,61000,,-67,TiO2,115,46000,,450,0.8,0.2,0.925,0.075,
0.8NaCa2Mg2V3O12-0.2CaTiO3,11.5,37500,,2,NaCa2Mg2V3O12,10,50600,,-47,CaTiO3,162,1290,1.5,859,0.8,0.2,0.936,0.064,
0.79ZnAl2O4-0.21TiO2,11.6,74000,6.5,0,ZnAl2O4,7.9,82000,,-63,TiO2,115,46000,,450,0.79,0.21,0.896,0.104,
0.6LiYW2O8-0.4BaWO4,11.7,19750,,14,BaWO4,8.1,56000,,-55,LiYW2O8,14.8,9550,,64,0.4,0.6,0.3,0.7,
0.8LiYW2O8-0.2BaWO4,12.4,12170,,33,BaWO4,8.1,56000,,-55,LiYW2O8,14.8,9550,,64,0.2,0.8,0.3,0.7,
1LiYW2O8-0BaWO4,14.8,9550,,64,BaWO4,8.1,56000,,-55,LiYW2O8,14.8,9550,,64,0,1,0.3,0.7,
0LiYW2O8-1BaWO4,8.1,56000,,-55,BaWO4,8.1,56000,,-55,LiYW2O8,14.8,9550,,64,1,0,0.3,0.7,
0.4LiYW2O8-0.6BaWO4,10.2,24318,,-21,BaWO4,8.1,56000,,-55,LiYW2O8,14.8,9550,,64,0.6,0.4,0.3,0.7,
LiMg0.9Zn0.1PO4+0.15VfTiO2,11.7,49800,,17,LiMg0.9Zn0.1PO4,6.7,99700,,-62,TiO2,115,46000,,450,0.85,0.15,,,
0.662BaMoO4-0.338TiO2,12.1,41600,,-25,BaMoO4,9,37100,,-90,TiO2,115,46000,,450,0.662,0.338,0.88,0.12,
0.76SrMoO4-0.24TiO2,12.2,21700,,40,SrMoO4,9.5,61000,,-67,TiO2,115,46000,,450,0.76,0.24,0.907,0.093,
0.50Li2MoO4-0.5TiO2,12.3,27000,,23,Li2MoO4,5.2,18500,9.6,-160,TiO2,115,46000,,450,0.5,0.5,0.685,0.315,
0.8LiCa3MgV3O12+0.2CaTiO3,13.2,59600,,1.3,LiCa3ZnV3O12,11.5,81100,,-72,CaTiO3,162,1290,1.5,859,0.8,0.2,0.97,0.03,
0.895Al2O3-0.105TiO2,12.5,340000,80,2,Al2O3,10,634000,14,-40,TiO2,115,46000,,450,0.895,0.105,0.916,0.084,
0.83ZnAl2O4-0.17TiO2,12.6,100200,10,0,ZnAl2O4,7.9,82000,,-63,TiO2,115,46000,,450,0.83,0.17,0.918,0.082,
0.8CaMoO4-0.2TiO2,12.8,29310,,10,CaMoO4,10.8,89700,,-23,TiO2,115,46000,,450,0.8,0.2,0.91,0.09,
0.9LiCa3MgV3O12- 0.1CaTiO3,12.4,57600,,2.7,LiCa3MgV3O12,10.5,74700,,-61,CaTiO3,162,1290,1.5,859,0.9,0.1,0.94,0.06,
0.5MgAl2O4-0.5TiO2,13.2,88000,6.8,-4,MgAl2O4,8.5,105000,,-63,TiO2,115,46000,,450,0.5,0.5,0.64,0.36,
